Designator,Mid X,Mid Y,Rotation,Layer
C1,146.252807,-98.51,135.0,top
C10_2,143.82,-105.25,90.0,top
C10,135.45,-83.69,180.0,top
C11,143.17,-94.79,90.0,top
C12,136.06,-95.65,90.0,top
C13,139.47,-92.5,270.0,top
C14,138.257778,-93.904282,90.0,top
C15,139.236,-89.19,180.0,top
C16,145.55,-99.22,135.0,top
C17,136.06,-97.39,270.0,top
C18,140.776007,-94.79912,90.0,top
C19,143.47,-96.6,315.0,top
C20,135.15,-105.25,90.0,top
C3,139.26,-94.79912,270.0,top
C4,135.52,-102.88,0.0,top
C5,145.77,-105.25,90.0,top
C6,135.52,-103.88,0.0,top
C7,141.79,-94.79912,90.0,top
C8,147.14,-105.62,0.0,top
C9,145.77,-92.01,270.0,top
J1,147.24,-84.975,0.0,top
L1,135.39,-91.748157,90.0,top
L2,140.15,-90.4,180.0,top
LCD1,141.2,-88.9,0.0,bottom
LED3,135.48,-85.31,0.0,top
R1,135.73,-82.25,270.0,top
R2,146.95,-82.25,270.0,top
R3,138.94,-93.9,180.0,bottom
R5,135.73,-87.64,90.0,top
SW1,145.133379,-104.84,90.0,bottom
SW2,137.133379,-104.91,90.0,bottom
SW3,141.133379,-100.175,0.0,bottom
SW4,141.133379,-109.575,0.0,bottom
SW5,141.133379,-104.875,90.0,bottom
SW6,137.800253,-97.075,135.0,bottom
SW7,144.699747,-97.075,45.0,bottom
TP1,136.58,-103.33,0.0,top
TP2,135.85,-96.2,0.0,bottom
TP3,135.85,-95.44,0.0,bottom
TP4,144.95,-90.16,0.0,top
TP5,146.72,-101.94,0.0,top
TP6,145.83,-102.42,0.0,top
U1,145.755822,-95.967262,90.0,top
U2,147.139822,-104.270051,0.0,top
U3,143.33,-91.94,90.0,top
U4,141.25,-109.7,180.0,top
U6,140.88,-100.35,45.0,top
U8,146.59,-89.34,225.0,top
USBC1,141.25,-85.4,180.0,top
X1,137.657778,-95.68,0.0,top
