Designator,Footprint,Quantity,Value,LCSC Part #
AUDIO1,AUDIO-SMD_PJ-393-7A,1,PJ-393-7A,C128990
"C1, C16, C17, C33, C4, C6, C7",C0402,7,CL05A105KA5NQNC,C52923
"C10, C19, C2, C20, C22, C24, C27, C28",C0402,8,CL05A106MP5NUNC_C315248,C315248
"C11, C12, C13, C18, C21, C23, C25, C26, C5, C8",C0402,10,CC0402KRX7R7BB104,C60474
"C14, C15",C0402,2,0402CG200J500NT,C1554
C3,C0402,1,CL05B103KB5NNNC,C15195
CN1,CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,1,SM02B-SRSS-TB,C160402
H1,HDR-SMD_20P-P1.27-V-M-R2-C10-S1.27-LS5.5-1,1,Double row of needle2*10 1.27mm,C59981
"L1, L2",L0603,2,BLM18PG121SN1D,C14709
MIC1,MIC-SMD_4P-L2.8-W1.9-P1.84-TL,1,ZTS6216,C481302
"R1, R2",R0402,2,0402WGF2001TCE,C4109
"R10, R11",R0402,2,0402WGF4701TCE,C25900
"R3, R4",R0402,2,0402WGF1002TCE,C25744
"R5, R6, R7, R8, R9",R0402,5,0402WGF330JTCE,C25105
"TP1, TP2, TP3, TP4",TinyTestPoint,4,TestPoint,
U1,DFN-8_L2.0-W2.0-P0.50-BL-EP1.5,1,LPA2103AQVF,C42460075
U2,X2SON-8_L1.4-W0.8-P0.50-BL,1,TCA9536DTMR,C3190167
U3,WSON-6_L2.0-W2.0-P0.65-TL-EP,1,LP5910-1.8DRVR,C2867568
U4,QFN-32_L4.0-W4.0-P0.40-BL-EP2.7,1,ES8316,C365735
U5,CONN-SMD_20P-P1.27_KINGHELM_KH-1.27FH-2X10P-H4.3-SMT,1,KH-1.27FH-2X10P-H4.3-SMT,C2938399
