Designator,Mid X,Mid Y,Rotation,Layer
AUDIO1,141.24,-101.55,270.0,top
C1,135.45,-85.92,270.0,top
C10,141.646667,-84.1,180.0,top
C11,141.646667,-83.1,180.0,top
C12,137.68,-92.39,90.0,top
C13,140.18,-94.86,0.0,top
C14,137.89,-95.86,180.0,top
C15,137.89,-94.86,180.0,top
C16,146.11,-93.6,180.0,top
C17,143.31,-95.49,90.0,top
C18,143.58,-84.1,180.0,top
C19,143.58,-83.1,180.0,top
C2,145.62,-90.4,180.0,top
C20,144.62,-86.655,180.0,top
C21,139.713333,-84.1,0.0,top
C22,139.713333,-83.1,0.0,top
C23,137.78,-84.1,180.0,top
C24,137.78,-83.1,180.0,top
C25,145.62,-88.4,180.0,top
C26,137.82,-85.55,0.0,top
C27,145.62,-89.4,180.0,top
C28,137.82,-86.55,0.0,top
C3,135.78,-90.25,90.0,top
C33,143.58,-82.1,180.0,top
C4,145.57,-82.1,180.0,top
C5,137.78,-82.1,0.0,top
C6,136.15,-88.4,180.0,top
C7,136.45,-85.92,90.0,top
C8,145.99,-87.025,270.0,top
CN1,144.3,-83.1,90.0,bottom
H1,141.0,-109.69,0.0,top
L1,140.526667,-81.95,0.0,top
L2,138.83,-92.94,270.0,top
MIC1,135.92,-83.09,180.0,top
R1,135.68,-92.85,0.0,top
R10,135.68,-95.86,180.0,top
R11,135.68,-94.86,180.0,top
R2,135.68,-93.85,0.0,top
R3,141.87,-95.86,0.0,top
R4,138.0,-90.18,270.0,top
R5,139.99,-92.45,90.0,top
R6,141.59,-92.45,90.0,top
R7,142.59,-92.45,90.0,top
R8,144.59,-92.45,90.0,top
R9,143.59,-92.45,90.0,top
U1,145.74,-84.45,270.0,top
U2,146.175,-92.25,270.0,top
U3,145.5,-95.4,180.0,top
U4,140.99,-88.6,90.0,top
U5,141.0,-109.7,180.0,bottom
