Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C19, C3, C4, C6",C0402,6,CL05B104KO5NNNC,C1525
"C10_2, C11, C15, C18, C5, C7, C8, C9",C0402,8,CL05A475MP5NRNC,C23733
C10,C0402,1,CC0402KRX7R7BB104,C60474
"C12, C14",C0402,2,CL05C100JB5NNNC,C32949
C13,C0603,1,CL10B473KB8NNNC,C1622
"C17, C20",C0402,2,CL05A105KA5NQNC,C52923
J1,PinSocket_1x02_P1.27mm_Vertical,1,battery connector,
L1,ANT-SMD_L3.2-W1.6,1,KH-3216-A27,C504001
L2,L0603,1,APH160808C1R0MX02,C54123751
LCD1,0.42-ST7735-Bent,1,~,
LED3,LED-SMD_4P-L1.5-W1.5,1,DY-S1515065/RGBC/6805-5T,C524053
"R1, R2",R0402,2,0402WGF5601TCE,C25908
R3,R0402,1,0402WGF499JTCE,C25120
R5,R0402,1,0402WGF1001TCE,C11702
"SW1, SW2, SW3, SW4, SW5, SW6, SW7",SW-SMD_L3.9-W3.0-P4.45,7,TS-1088-AR02016,C720477
TP1,2xTinyTestPoint,1,RESET,
TP2,2xTinyTestPoint,1,UART_RX,
TP3,2xTinyTestPoint,1,UART_TX,
TP4,TinyTestPoint,1,BAT_STAT,
TP5,TinyTestPoint,1,SDA,
TP6,TinyTestPoint,1,SCL,
U1,UQFN-16_L2.6-W1.8-P0.40-BL,1,FXL6408UMX,C457770
U2,DFN-4_L1.0-W1.0-P0.65-BL-EP,1,LW5233N11E,C20630430
U3,WQFN-18_L3.0-W2.5-P0.40-TL,1,BQ25628RYKR,C6055599
U4,CONN-SMD_20P-P1.27_KINGHELM_KH-1.27FH-2X10P-H4.3-SMT,1,KH-1.27FH-2X10P-H4.3-SMT,C2938399
U6,QFN-56_L7.0-W7.0-P0.40-BL-EP5.7,1,ESP32-S3FH4R2,C3013940
U8,DFN2510-10_L2.5-W1.0-P0.50-BL,1,H5VU25UC,C20615800
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
X1,CRYSTAL-SMD_4P-L1.6-W1.2-BL,1,SX16Y040000B71T001,C20623634
